college_id,name_full
tnswten,Southwest Tennessee Community College
tntech,Tennessee Technological University
tntenme,University of Tennessee Health Science Center
tnvolun,Volunteer State Community College
tnwesleyan,Tennessee Wesleyan College
toledo,University of Toledo
towson,Towson University
trinityct,Trinity College
trinitytx,Trinity University
trnsylvnia,Transylvania University
troyst,Troy University
trumanst,Truman State University
tuftsma,Tufts University
tulane,Tulane University
tulsa,University of Tulsa
tusculum,Tusculum College
tuskegee,Tuskegee University
txalvin,Alvin Community College
txangel,Angelo State University
txangjc,Angelina College
txausti,Austin Community College
txblinn,Blinn College
txburne,Burnetta College
txchrist,Texas Christian University
txclare,Clarendon College
txcoast,Coastal Bend College
txcolli,Collin College
txeastf,Eastfield College
txelpas,El Paso Community College
txfrank,Frank Phillips College
txgalve,Galveston College
txgrays,Grayson County College
txhillj,Hill College
txhowar,Howard College
txkilgo,Kilgore College
txleejc,Lee College
txlonmo,Lon Morris College
txmclen,McLennan Community College
txmcmur,McMurry University
txmerid,Meridian Junior College
txmidla,Midland College
txnavar,Navarro College
txnctjc,North Central Texas College
txnetex,Northeast Texas Community College
txodess,Odessa College
txpanol,Panola College
txparis,Paris Junior College
txpaulq,Paul Quinn College
txsajco,San Antonio College
txsjjcn,"San Jacinto College, North Campus"
txsjjco,San Jacinto College
txswtex,Southwest Texas Junior College
txtech,Texas Tech University
txtempl,Temple College
txtexar,Texarkana College
txtyler,Tyler Junior College
txverno,Vernon College
txweath,Weatherford College
txwesle,Wesley College
txwesleyan,Texas Wesleyan University
txwestt,West Texas A&M University
txwhart,Wharton County Junior College
uab,University of Alabama at Birmingham
ucdavis,"University of California, Davis"
ucirvine,"University of California, Irvine"
ucla,"University of California, Los Angeles"
uconn,University of Connecticut
ucriver,"University of California, Riverside"
ucsb,"University of California, Santa Barbara"
ucsd,"University of California, San Diego"
ulala,University of Louisiana at Lafayette
ulamo,University of Louisiana at Monroe
umass,University of Massachusetts Amherst
umassdartm,University of Massachusetts Dartmouth
umbc,"University of Maryland, Baltimore County"
umes,University of Maryland Eastern Shore
umkc,University of Missouri Kansas City
unc,University of North Carolina at Chapel Hill
uncashe,University of North Carolina at Asheville
uncgreen,University of North Carolina at Greensboro
uncwilm,University of North Carolina at Wilmington
unionny,Union College
uniontn,Union University
unlv,University of Nevada-Las Vegas
uofsouth,University of the South
upenn,University of Pennsylvania
upperiowa,Upper Iowa University
ursinus,Ursinus College
usc,University of Southern California
uscaiken,University of South Carolina Aiken
utah,University of Utah
utahst,Utah State University
utahvalley,Utah Valley State University
utarl,University of Texas at Arlington
utchat,University of Tennessee at Chattanooga
utdixie,Dixie State College of Utah
utep,University of Texas at El Paso
utpanam,University of Texas Pan American
utslxxo,Salt Lake Community College
utsnojc,Snow College
vaappre,Newport News Apprentice School
vaemenn,Eastern Mennonite University
valdostast,Valdosta State University
valpo,Valparaiso University
vamedic,Medical College of Virginia
vandy,Vanderbilt University
vanguardca,Vanguard University of Southern California
vatech,Virginia Polytechnic Institute and State University
vcu,Virginia Commonwealth University
vermont,University of Vermont
villanova,Villanova University
virginia,University of Virginia
virginiast,Virginia State University
viterbowi,Viterbo University
vmi,Virginia Military Institute
wabashin,Wabash College
wabelle,Bellevue Community College
wacentr,Centralia College
waclark,Clark College
wacolum,Columbia Basin College
waedmon,Edmonds Community College
waevere,Everett Community College
wagner,Wagner College
wagreen,Green River Community College
wake,Wake Forest University
walabama,University of West Alabama
walower,Lower Columbia College
waolymp,Olympic College
warnerpac,Warner Pacific College
wasfcco,Spokane Falls Community College
washburn,Washburn University
washcollmd,Washington College
washcolltn,Washington College
washington,University of Washington
washjeffpa,Washington and Jefferson College
washleeva,Washington and Lee University
washore,Shoreline Community College
washst,Washington State University
watacom,Tacoma Community College
wawalla,Walla Walla Community College
wawenat,Wenatchee Valley College
wayakim,Yakima Valley Community College
waynesburg,Waynesburg College
waynest,Wayne State University
waynestne,Wayne State College
wcarolina,Western Carolina University
wchester,West Chester University of Pennsylvania
wconnst,Western Connecticut State University
weberst,Weber State College
wesleyanct,Wesleyan University
westmontca,Westmont College
wflorida,University of West Florida
wgeorgia,State University of West Georgia
wheatonma,Wheaton College
whitmanwa,Whitman College
whittierca,Whittier College
whitwrthwa,Whitworth College
wicarro,Carroll College
wichitast,Wichita State University
widenerpa,Widener University
wilacrosse,University of Wisconsin at La Crosse
wilawre,Lawrence University
wilbrforce,Wilberforce University
wileytx,Wiley College
wilkespa,Wilkes University
willamette,Willamette University
williamsma,Williams College
willinois,Western Illinois University
willmary,College of William and Mary
wingate,Wingate University
winstsalst,Winston-Salem State University
winthrop,Winthrop University
wioshkosh,University of Wisconsin at Oshkosh
wisacre,Sacred Heart College
wisconsin,University of Wisconsin at Madison
wistnor,St. Norbert College
wistvnspt,University of Wisconsin at Stevens Point
wisuperior,University of Wisconsin at Superior
wittnbrgoh,Wittenberg University
wiwhitewtr,University of Wisconsin at Whitewater
wkentucky,Western Kentucky University
wlibertyst,West Liberty State College
wlmcarey,William Carey College
wlmjewell,William Jewell College
wlmpennia,William Penn University
wmichigan,Western Michigan University
wminstermo,Westminster College
wminsterpa,Westminster College
wofford,Wofford College
woosteroh,College of Wooster
wpaterson,William Paterson University
wrightst,Wright State University
wshngtonmo,Washington University in St. Louis
wvirginia,West Virginia University
wvpotom,Potomac State College
wvstate,West Virginia State University
wvwesleyan,West Virginia Wesleyan College
wwashngton,Western Washington University
wyoming,University of Wyoming
xavier,Xavier University
yale,Yale University
youngst,Youngstown State University
